local_code,cpse,raw_description,canonical_id,depot_id,depot_location,quantity,unit_cost_inr,idle_days,extracted_item_type,extracted_size_nb_mm,extracted_pressure_class,extracted_metallurgy,extracted_facing,extracted_standard
BPCL-SAP-0000001,BPCL,FLG-WN-DN25-PN20-SS304-RF,CAN-000045,DEPOT-BPCL-MUM,"Mumbai Refinery, Mahul, Maharashtra",5,5280,66,FLANGE_WELD_NECK,25.0,150,ASTM A182 F304,RF,ASME B16.5
BPCL-SAP-0000002,BPCL,FLG-WN-DN300-PN50-SS304-RTJ,CAN-000374,DEPOT-BPCL-MUM,"Mumbai Refinery, Mahul, Maharashtra",5,232480,15,FLANGE_WELD_NECK,300.0,300,ASTM A182 F304,RTJ,ASME B16.5
BPCL-SAP-0000003,BPCL,FLG-SO-DN50-PN20-SS316-FF,CAN-000796,DEPOT-BPCL-MUM,"Mumbai Refinery, Mahul, Maharashtra",76,12600,616,FLANGE_SLIP_ON,50.0,150,ASTM A182 F316,FF,ASME B16.5
BPCL-SAP-0000004,BPCL,FLG-SO-DN250-CL1500-SS304-RF,CAN-000967,DEPOT-BPCL-NML,"Numaligarh Depot Base, Assam",0,483420,0,FLANGE_SLIP_ON,250.0,1500,ASTM A182 F304,RF,ASME B16.5
BPCL-SAP-0000005,BPCL,VLV-GT-DN40-PN100-WCB-RF,CAN-001146,DEPOT-BPCL-NML,"Numaligarh Depot Base, Assam",11,100520,97,GATE_VALVE,40.0,600,ASTM A216 WCB,RF,API 6D
BPCL-SAP-0000006,BPCL,VLV-BL-DN200-CL150-WCB-BW,CAN-001742,DEPOT-BPCL-BIN,"Bina Refinery, Madhya Pradesh",0,328420,0,BALL_VALVE,200.0,150,ASTM A216 WCB,BW,API 6D
BPCL-SAP-0000007,BPCL,VLV-GT-DN150-PN150-SS316-BW,CAN-001408,DEPOT-BPCL-MUM,"Mumbai Refinery, Mahul, Maharashtra",6,2480500,111,GATE_VALVE,150.0,900,ASTM A182 F316,BW,API 6D
BPCL-SAP-0000008,BPCL,FLG-SO-DN100-PN150-A105-FF,CAN-000870,DEPOT-BPCL-MUM,"Mumbai Refinery, Mahul, Maharashtra",0,40670,0,FLANGE_SLIP_ON,100.0,900,ASTM A105,FF,ASME B16.5
BPCL-SAP-0000009,BPCL,GSKT-SW-DN100-PN50-SS316-GR-RF,CAN-002053,DEPOT-BPCL-NML,"Numaligarh Depot Base, Assam",12,21950,100,SPIRAL_WOUND_GASKET,100.0,300,SS316 / GRAPHITE,RF,ASME B16.20
BPCL-SAP-0000010,BPCL,VLV-GT-DN200-PN150-A105-RF,CAN-001462,DEPOT-BPCL-MUM,"Mumbai Refinery, Mahul, Maharashtra",0,1126700,0,GATE_VALVE,200.0,900,ASTM A105,RF,API 6D
BPCL-SAP-0000011,BPCL,FLG-SO-DN100-PN100-SS304-RF,CAN-000865,DEPOT-BPCL-NML,"Numaligarh Depot Base, Assam",16,70570,74,FLANGE_SLIP_ON,100.0,600,ASTM A182 F304,RF,ASME B16.5
BPCL-SAP-0000012,BPCL,FLG-WN-DN80-CL300-A350LF2-RTJ,CAN-000172,DEPOT-BPCL-BIN,"Bina Refinery, Madhya Pradesh",32,27800,23,FLANGE_WELD_NECK,80.0,300,ASTM A350 LF2,RTJ,ASME B16.5
BPCL-SAP-0000013,BPCL,FLG-BLD-DN25-PN100-A350LF2-RTJ,CAN-000446,DEPOT-BPCL-NML,"Numaligarh Depot Base, Assam",143,8730,226,FLANGE_BLIND,25.0,600,ASTM A350 LF2,RTJ,ASME B16.5
BPCL-SAP-0000014,BPCL,FLG-WN-DN15-PN250-SS304-RF,CAN-000037,DEPOT-BPCL-NML,"Numaligarh Depot Base, Assam",0,17140,0,FLANGE_WELD_NECK,15.0,1500,ASTM A182 F304,RF,ASME B16.5
BPCL-SAP-0000015,BPCL,VLV-GT-DN50-CL900-WCB-BW,CAN-001220,DEPOT-BPCL-KCH,"Kochi Refinery, Kerala",65,185830,746,GATE_VALVE,50.0,900,ASTM A216 WCB,BW,API 6D
BPCL-SAP-0000016,BPCL,FLG-SO-DN100-PN20-SS304-RF,CAN-000853,DEPOT-BPCL-BIN,"Bina Refinery, Madhya Pradesh",12,23280,43,FLANGE_SLIP_ON,100.0,150,ASTM A182 F304,RF,ASME B16.5
BPCL-SAP-0000017,BPCL,FLG-WN-DN100-CL900-A350LF2-RF,CAN-000227,DEPOT-BPCL-KCH,"Kochi Refinery, Kerala",0,89480,0,FLANGE_WELD_NECK,100.0,900,ASTM A350 LF2,RF,ASME B16.5
BPCL-SAP-0000018,BPCL,FLG-WN-DN250-CL900-A350LF2-RF,CAN-000347,DEPOT-BPCL-KCH,"Kochi Refinery, Kerala",144,294480,727,FLANGE_WELD_NECK,250.0,900,ASTM A350 LF2,RF,ASME B16.5
BPCL-SAP-0000019,BPCL,FLG-SO-DN100-CL600-SS316-FF,CAN-000868,DEPOT-BPCL-NML,"Numaligarh Depot Base, Assam",138,94100,467,FLANGE_SLIP_ON,100.0,600,ASTM A182 F316,FF,ASME B16.5
BPCL-SAP-0000020,BPCL,VLV-GL-DN250-PN20-A105-RF,CAN-001963,DEPOT-BPCL-MUM,"Mumbai Refinery, Mahul, Maharashtra",46,478860,354,GLOBE_VALVE,250.0,150,ASTM A105,RF,BS 1873
BPCL-SAP-0000021,BPCL,VLV-GT-DN40-PN20-SS316-BW,CAN-001132,DEPOT-BPCL-MUM,"Mumbai Refinery, Mahul, Maharashtra",42,106110,113,GATE_VALVE,40.0,150,ASTM A182 F316,BW,API 6D
BPCL-SAP-0000022,BPCL,FLG-WN-DN15-CL900-SS316-RTJ,CAN-000032,DEPOT-BPCL-BIN,"Bina Refinery, Madhya Pradesh",45,15190,108,FLANGE_WELD_NECK,15.0,900,ASTM A182 F316,RTJ,ASME B16.5
BPCL-SAP-0000023,BPCL,GSKT-SW-DN200-CL1500-SS316-GR-RF,CAN-002079,DEPOT-BPCL-MUM,"Mumbai Refinery, Mahul, Maharashtra",0,195920,0,SPIRAL_WOUND_GASKET,200.0,1500,SS316 / GRAPHITE,RF,ASME B16.20
BPCL-SAP-0000024,BPCL,VLV-GT-DN300-PN20-WCB-BW,CAN-001543,DEPOT-BPCL-KCH,"Kochi Refinery, Kerala",30,455200,112,GATE_VALVE,300.0,150,ASTM A216 WCB,BW,API 600
BPCL-SAP-0000025,BPCL,FLG-SO-DN150-CL300-SS316-FF,CAN-000892,DEPOT-BPCL-KCH,"Kochi Refinery, Kerala",5,91550,120,FLANGE_SLIP_ON,150.0,300,ASTM A182 F316,FF,ASME B16.5
BPCL-SAP-0000026,BPCL,VLV-GT-DN100-PN150-WCB-BW,CAN-001340,DEPOT-BPCL-MUM,"Mumbai Refinery, Mahul, Maharashtra",0,457580,0,GATE_VALVE,100.0,900,ASTM A216 WCB,BW,API 6D
BPCL-SAP-0000027,BPCL,VLV-GT-DN40-PN50-WCB-BW,CAN-001135,DEPOT-BPCL-MUM,"Mumbai Refinery, Mahul, Maharashtra",123,57730,352,GATE_VALVE,40.0,300,ASTM A216 WCB,BW,API 600
BPCL-SAP-0000028,BPCL,VLV-BL-DN300-PN20-WCB-BW,CAN-001782,DEPOT-BPCL-NML,"Numaligarh Depot Base, Assam",137,556360,243,BALL_VALVE,300.0,150,ASTM A216 WCB,BW,API 6D
BPCL-SAP-0000029,BPCL,VLV-BL-DN150-CL150-SS316-RF,CAN-001723,DEPOT-BPCL-BIN,"Bina Refinery, Madhya Pradesh",110,723050,288,BALL_VALVE,150.0,150,ASTM A182 F316,RF,API 6D
BPCL-SAP-0000030,BPCL,VLV-GT-DN200-CL1500-WCB-RF,CAN-001469,DEPOT-BPCL-NML,"Numaligarh Depot Base, Assam",29,1695460,106,GATE_VALVE,200.0,1500,ASTM A216 WCB,RF,API 600
BPCL-SAP-0000031,BPCL,FLG-BLD-DN200-CL300-A350LF2-RF,CAN-000619,DEPOT-BPCL-NML,"Numaligarh Depot Base, Assam",0,74850,0,FLANGE_BLIND,200.0,300,ASTM A350 LF2,RF,ASME B16.5
BPCL-SAP-0000032,BPCL,FLG-WN-DN80-PN100-A105-RTJ,CAN-000178,DEPOT-BPCL-BIN,"Bina Refinery, Madhya Pradesh",30,30250,105,FLANGE_WELD_NECK,80.0,600,ASTM A105,RTJ,ASME B16.5
BPCL-SAP-0000033,BPCL,FLG-WN-DN80-CL1500-SS316-RF,CAN-000199,DEPOT-BPCL-MUM,"Mumbai Refinery, Mahul, Maharashtra",0,201490,0,FLANGE_WELD_NECK,80.0,1500,ASTM A182 F316,RF,ASME B16.5
BPCL-SAP-0000034,BPCL,VLV-BL-DN250-CL900-SS316-BW,CAN-001776,DEPOT-BPCL-NML,"Numaligarh Depot Base, Assam",17,5889700,28,BALL_VALVE,250.0,900,ASTM A182 F316,BW,API 6D
BPCL-SAP-0000035,BPCL,FLG-BLD-DN80-PN50-A105-RF,CAN-000527,DEPOT-BPCL-KCH,"Kochi Refinery, Kerala",0,14210,0,FLANGE_BLIND,80.0,300,ASTM A105,RF,ASME B16.5
BPCL-SAP-0000036,BPCL,VLV-GL-DN50-PN250-WCB-RF,CAN-001878,DEPOT-BPCL-BIN,"Bina Refinery, Madhya Pradesh",0,372860,0,GLOBE_VALVE,50.0,1500,ASTM A216 WCB,RF,ASME B16.34
BPCL-SAP-0000037,BPCL,VLV-GT-DN300-PN50-A105-RF,CAN-001557,DEPOT-BPCL-MUM,"Mumbai Refinery, Mahul, Maharashtra",22,792550,12,GATE_VALVE,300.0,300,ASTM A105,RF,API 600
