local_code,cpse,raw_description,canonical_id,depot_id,depot_location,quantity,unit_cost_inr,idle_days,extracted_item_type,extracted_size_nb_mm,extracted_pressure_class,extracted_metallurgy,extracted_facing,extracted_standard
IOCL-MM-0000001,IOCL,VLV GT 6IN CL900 SS316 BW API600,CAN-001407,DEPOT-IOCL-MTH,"Mathura Refinery, Uttar Pradesh",23,2480500,97,GATE_VALVE,150.0,900,ASTM A182 F316,BW,API 600
IOCL-MM-0000002,IOCL,FLG WN 1IN 300LB SS316 RTJ ASMEB16.5,CAN-000056,DEPOT-IOCL-MTH,"Mathura Refinery, Uttar Pradesh",49,12250,91,FLANGE_WELD_NECK,25.0,300,ASTM A182 F316,RTJ,ASME B16.5
IOCL-MM-0000003,IOCL,FLG BLD 6IN 1500LB A105 RTJ,CAN-000606,DEPOT-IOCL-PRD,"Paradip Refinery, Odisha",41,116640,95,FLANGE_BLIND,150.0,1500,ASTM A105,RTJ,ASME B16.5
IOCL-MM-0000004,IOCL,FLG BLD RTJ 2IN CL150 A105,CAN-000492,DEPOT-IOCL-PRD,"Paradip Refinery, Odisha",32,4430,113,FLANGE_BLIND,50.0,150,ASTM A105,RTJ,ASME B16.5
IOCL-MM-0000005,IOCL,VLV BL 1IN 150# WCB RF,CAN-001621,DEPOT-IOCL-PNP,"Panipat Refinery, Haryana",8,22000,95,BALL_VALVE,25.0,150,ASTM A216 WCB,RF,API 6D
IOCL-MM-0000006,IOCL,VLV GT 10IN 150# SS316 RF API600,CAN-001489,DEPOT-IOCL-MTH,"Mathura Refinery, Uttar Pradesh",84,1149270,329,GATE_VALVE,250.0,150,ASTM A182 F316,RF,API 600
IOCL-MM-0000007,IOCL,VLV GLB 10IN 150# A105 RF,CAN-001963,DEPOT-IOCL-GWT,"Guwahati Refinery, Assam",0,478860,0,GLOBE_VALVE,250.0,150,ASTM A105,RF,BS 1873
IOCL-MM-0000008,IOCL,FLG WN RTJ 3IN CL900 SS316,CAN-000192,DEPOT-IOCL-PNP,"Panipat Refinery, Haryana",48,133900,104,FLANGE_WELD_NECK,80.0,900,ASTM A182 F316,RTJ,ASME B16.5
IOCL-MM-0000009,IOCL,FLG SO 8IN CL900 A105 RF,CAN-000929,DEPOT-IOCL-PRD,"Paradip Refinery, Odisha",37,100150,110,FLANGE_SLIP_ON,200.0,900,ASTM A105,RF,ASME B16.5
IOCL-MM-0000010,IOCL,FLG WN RTJ 1IN CL900 A105,CAN-000066,DEPOT-IOCL-KYL,"Koyali Refinery, Gujarat",48,9220,50,FLANGE_WELD_NECK,25.0,900,ASTM A105,RTJ,ASME B16.5
