local_code,cpse,raw_description,canonical_id,depot_id,depot_location,quantity,unit_cost_inr,idle_days,extracted_item_type,extracted_size_nb_mm,extracted_pressure_class,extracted_metallurgy,extracted_facing,extracted_standard
ONGC-MAT-0000001,ONGC,"FLANGE, BLIND, 6 INCH, CLASS 300, ASTM A350 LF2, ASME B16.5, RTJ FACING",CAN-000590,DEPOT-ONGC-URN,"Uran Plant, Maharashtra",0,51500,0,FLANGE_BLIND,150.0,300,ASTM A350 LF2,RTJ,ASME B16.5
ONGC-MAT-0000002,ONGC,"FLANGE, SLIP-ON, 3 INCH, CLASS 900, ASTM A182 F316, ASME B16.5, FF FACING",CAN-000844,DEPOT-ONGC-URN,"Uran Plant, Maharashtra",0,97380,0,FLANGE_SLIP_ON,80.0,900,ASTM A182 F316,FF,ASME B16.5
ONGC-MAT-0000003,ONGC,"STUD BOLT WITH NUTS, 2 INCH, CLASS 900, ASTM A320 L7 / A194 7, ASME B18.2.1, THRD FACING",CAN-002138,DEPOT-ONGC-MBO,"Mumbai Offshore Logistics Base, Maharashtra",130,5780,613,STUD_BOLT,50.0,900,ASTM A320 L7 / A194 7,THRD,ASME B18.2.1
ONGC-MAT-0000004,ONGC,"FLANGE, WELDING NECK, 1.5 INCH, CLASS 150, ASTM A105, ASME B16.5, RTJ FACING",CAN-000082,DEPOT-ONGC-RJM,"Rajahmundry Asset, Andhra Pradesh",0,4050,0,FLANGE_WELD_NECK,40.0,150,ASTM A105,RTJ,ASME B16.5
ONGC-MAT-0000005,ONGC,"VALVE, BALL, 12 INCH, CLASS 600, ASTM A182 F316, API 6D, RF FACING",CAN-001791,DEPOT-ONGC-URN,"Uran Plant, Maharashtra",19,5397040,39,BALL_VALVE,300.0,600,ASTM A182 F316,RF,API 6D
ONGC-MAT-0000006,ONGC,"VALVE, GATE, 2 INCH, CLASS 1500, ASTM A216 WCB, API 600, RF FACING",CAN-001229,DEPOT-ONGC-RJM,"Rajahmundry Asset, Andhra Pradesh",41,279640,42,GATE_VALVE,50.0,1500,ASTM A216 WCB,RF,API 600
ONGC-MAT-0000007,ONGC,"FLANGE, SLIP-ON, 1.5 INCH, CLASS 900, ASTM A105, ASME B16.5, RF FACING",CAN-000779,DEPOT-ONGC-HZR,"Hazira Gas Processing Plant, Gujarat",69,12350,196,FLANGE_SLIP_ON,40.0,900,ASTM A105,RF,ASME B16.5
ONGC-MAT-0000008,ONGC,"FLANGE, WELDING NECK, 1/2 INCH, CLASS 150, ASTM A350 LF2, ASME B16.5, RTJ FACING",CAN-000004,DEPOT-ONGC-RJM,"Rajahmundry Asset, Andhra Pradesh",98,1810,309,FLANGE_WELD_NECK,15.0,150,ASTM A350 LF2,RTJ,ASME B16.5
ONGC-MAT-0000009,ONGC,"FLANGE, SLIP-ON, 1.5 INCH, CLASS 150, ASTM A105, ASME B16.5, FF FACING",CAN-000762,DEPOT-ONGC-ANK,"Ankleshwar Asset, Gujarat",14,2940,47,FLANGE_SLIP_ON,40.0,150,ASTM A105,FF,ASME B16.5
ONGC-MAT-0000010,ONGC,"VALVE, BALL, 1 INCH, CLASS 900, ASTM A216 WCB, API 6D, RF FACING",CAN-001633,DEPOT-ONGC-HZR,"Hazira Gas Processing Plant, Gujarat",48,92240,32,BALL_VALVE,25.0,900,ASTM A216 WCB,RF,API 6D
ONGC-MAT-0000011,ONGC,"VALVE, BALL, 1/2 INCH, CLASS 150, ASTM A182 F316, API 6D, BW FACING",CAN-001604,DEPOT-ONGC-RJM,"Rajahmundry Asset, Andhra Pradesh",89,36230,599,BALL_VALVE,15.0,150,ASTM A182 F316,BW,API 6D
ONGC-MAT-0000012,ONGC,"VALVE, BALL, 10 INCH, CLASS 1500, ASTM A216 WCB, API 6D, BW FACING",CAN-001778,DEPOT-ONGC-URN,"Uran Plant, Maharashtra",0,2769630,0,BALL_VALVE,250.0,1500,ASTM A216 WCB,BW,API 6D
ONGC-MAT-0000013,ONGC,"FLANGE, SLIP-ON, 1/2 INCH, CLASS 300, ASTM A105, ASME B16.5, RF FACING",CAN-000707,DEPOT-ONGC-ANK,"Ankleshwar Asset, Gujarat",39,1430,87,FLANGE_SLIP_ON,15.0,300,ASTM A105,RF,ASME B16.5
ONGC-MAT-0000014,ONGC,"VALVE, GLOBE, 1 INCH, CLASS 1500, ASTM A216 WCB, ASME B16.34, RF FACING",CAN-001838,DEPOT-ONGC-URN,"Uran Plant, Maharashtra",85,151420,393,GLOBE_VALVE,25.0,1500,ASTM A216 WCB,RF,ASME B16.34
